$ nm init7 
0804c9ec T __GI_setsockopt
0804de24 T __GI_setstate_r
0804e9b3 W __GI_sigaction
08050654 T __GI_signal
0804ee04 T __GI_sigprocmask
0804e460 T __GI_sleep
0804aa3c T __GI_snprintf
0804ca28 T __GI_socket
0804aa60 T __GI_sprintf
0804df1c T __GI_srandom_r
0804a5b8 T __GI_stat
0804c46c T __GI_strcasecmp
0804c2c8 T __GI_strcat
0804c2e8 T __GI_strchr
08050ae8 T __GI_strcmp
08050ae8 T __GI_strcoll
0804c308 T __GI_strcpy
0804c4a4 T __GI_strdup
0804c324 T __GI_strlen
08050b08 T __GI_strncat
0804c338 T __GI_strncpy
0804c360 T __GI_strnlen
0804fb88 T __GI_strpbrk
08050b9c T __GI_strspn
0804c4dc T __GI_strtok
0804fb2c T __GI_strtok_r
0804e1a8 T __GI_strtol
0804e5ec T __GI_sysconf
0804c518 T __GI_tcgetattr
0804a600 T __GI_time
0804ee5c T __GI_times
08051730 T __GI_tolower
0804a7f4 T __GI_toupper
0804e734 T __GI___uClibc_fini
0804e7ab T __GI___uClibc_init
0804a660 T __GI_unlink
0804ea8c W __GI_vfork
0804b148 T __GI_vfprintf
0804aa80 T __GI_vsnprintf
0804ee8c T __GI_wait4
0804a690 W __GI_waitpid
0804eed0 T __GI_wcrtomb
0804ef34 T __GI_wcsnrtombs
0804ef14 T __GI_wcsrtombs
0804a6ac W __GI_write
0804c39c T __GI___xpg_strerror_r
0804c37c T __glibc_strerror_r
0805485c d _GLOBAL_OFFSET_TABLE_
0805722c b h.4992
08057264 V _h_errno
08057264 B h_errno
0804eec8 W __h_errno_location
0804c594 T htonl
0804c588 T htons
0804c2e8 T index
0804c5b0 T inet_addr
0804fbb0 T inet_aton
08050f28 T inet_ntop
08050e20 t inet_ntop4
08050c56 T inet_pton
08050bd0 t inet_pton4
08048094 T _init
08054848 a __init_array_end
08054848 a __init_array_start
0804dd89 T initstate
0804dfb2 T initstate_r
0804875b T injectbot
0804a434 T ioctl
0804c4f8 T isatty
08054858 d __JCR_END__
08054858 d __JCR_LIST__
         w _Jv_RegisterClasses
080574c4 B key
080507cc T kill
080518b8 T __length_dotted
080512ac T __length_question
0804a168 T __libc_close
0804c968 T __libc_connect
0804a4bf T __libc_creat
0804eaf4 T __libc_fcntl
0804eb4c T __libc_fcntl64
0804a234 T __libc_fork
0804a354 T __libc_getpid
080516d0 T __libc_lseek64
0804ed18 T __libc_nanosleep
0804a474 T __libc_open
08050800 T __libc_poll
0804a518 T __libc_read
0804c9b8 T __libc_recv
0804a550 T __libc_select
08050608 T __libc_send
0804e9b3 T __libc_sigaction
08057248 B __libc_stack_end
0804e060 T __libc_system
0804a690 T __libc_waitpid
0804a6ac T __libc_write
0804c994 T listen
0804f200 T _load_inttype
080516d0 W lseek64
080497d0 T main
080488bf T makestring
0804cafe T malloc
0804d629 T __malloc_consolidate
0804cad8 t __malloc_largebin_index
08054a70 D __malloc_lock
080574e0 B __malloc_state
0804d59c t __malloc_trim
0804d96d T malloc_trim
08048df0 T matar
0804fa0c T memchr
0804c288 T memcpy
0804fa30 T memmove
0804fa58 W mempcpy
0804fa7c T memrchr
0804c2b0 T memset
08048309 T mfork
0804eaa4 T mmap
0804eca4 T mremap
080548e0 D msgs
0804ece4 T munmap
08055010 b mylock
08054a88 d mylock
08054aa0 d mylock
08057268 b mylock
08057868 B __nameserver
08057874 B __nameservers
0804ed18 W nanosleep
08057040 b next_start.1109
080573a0 B nick
08049374 T _NICK
0804c5a7 T ntohl
0804c59b T ntohs
08054be4 B numpids
080548a0 D numservers
08054bc4 b object.2482
0804a474 W open
080513c8 T __open_etc_hosts
08050398 T __open_nameservers
08054884 d p.2427
08057250 B __pagesize
0804ab34 T pclose
080574cc B pids
08049333 T _PING
0804ed4c T pipe
08050800 W poll
0804abf2 T popen
08055028 b popen_list
0804b818 T _ppfs_init
0804ba05 T _ppfs_parsespec
0804b888 T _ppfs_prepargs
0804b8cc T _ppfs_setargs
0804a4d8 T prctl
08052231 r prefix.4202
08054848 a __preinit_array_end
08054848 a __preinit_array_start
0804a9e0 T printf
08048e00 T _PRIVMSG
0804b9dc t _promoted_size
0804e776 W _pthread_cleanup_pop_restore
0804e776 W _pthread_cleanup_push_defer
         w __pthread_initialize_minimal
0804e773 W __pthread_mutex_init
0804e773 W __pthread_mutex_lock
0804e773 W __pthread_mutex_trylock
0804e773 W __pthread_mutex_unlock
0804e773 t __pthread_return_0
0804e776 t __pthread_return_void
0804c118 T putc_unlocked
0804a964 T puts
08052244 r qual_chars.4208
0805063c T raise
0805063c T __raise
0804dcdc T rand
080484e1 T rand_alphastr
08048494 T rand_init
0804842c T rand_next
08048598 T rand_number
0804dce4 T random
08052e40 r random_poly_info
0804debd T random_r
08054ae0 d randtbl
08050b38 T rawmemchr
0804a518 W read
080513f9 T __read_etc_hosts_r
0804ed7c T readlink
0804d274 T realloc
0804daa4 T realpath
0804c9b8 W recv
         w __register_frame_info_bases
08054b90 D __resolv_lock
0804e9ab t __restore
0804e9a4 t __restore_rt
08057258 B __rtld_fini
0804edb4 T sbrk
08057858 B __searchdomain
08057878 B __searchdomains
0804a550 W select
08050608 W send
080482b2 T Send
080574c0 B server
080548a4 D servers
0804a590 T setsid
0804c9ec T setsockopt
0804dd2c T setstate
0804de24 T setstate_r
0804e9b3 W sigaction
08050728 T __sigaddset
08050748 T __sigdelset
08057880 B _sigintr
08050704 T __sigismember
08050654 T signal
0804ee04 T sigprocmask
0804e460 T sleep
0804aa3c T snprintf
080573a4 B sock
0804ca28 T socket
0804eac0 T __socketcall
08052258 r spec_and_mask.4207
0805223d r spec_base.4201
08052281 r spec_chars.4204
08052296 r spec_flags.4203
08052268 r spec_or_mask.4206
08052278 r spec_ranges.4205
0804aa60 T sprintf
0804dde0 T srand
0804dde0 T srandom
0804df1c T srandom_r
08048164 T _start
0804a5b8 T stat
08054b8c d static_id
08057280 b static_ns
08054928 D stderr
08054920 D stdin
0805492c D __stdin
0805097c T __stdio_adjust_position
0804adec T _stdio_fopen
0804f070 T __stdio_fwrite
0804b01c T _stdio_init
0804b07d T __stdio_init_mutex
0805220c r __stdio_mutex_initializer.3991
08054934 D _stdio_openlist
08054938 D _stdio_openlist_add_lock
0804be84 T _stdio_openlist_dec_use
08055030 B _stdio_openlist_del_count
08054950 D _stdio_openlist_del_lock
0805502c B _stdio_openlist_use_count
08050938 T __stdio_READ
08050a24 T __stdio_rfill
08050ab4 T __stdio_seek
08054980 d _stdio_streams
0804b094 T _stdio_term
08050a4c T __stdio_trans2r_o
0804f160 T __stdio_trans2w_o
08054968 D _stdio_user_locking
0804b11c T __stdio_wcommit
0804eff0 T __stdio_WRITE
0804e1c4 T _stdlib_strto_l
08054924 D stdout
08054930 D __stdout
0804f258 T _store_inttype
0804c46c T strcasecmp
0804c2c8 T strcat
0804c2e8 T strchr
08050ae8 T strcmp
08050ae8 T strcoll
0804c308 T strcpy
0804c4a4 W strdup
0804c39c W strerror_r
080522e0 R _string_syserrmsgs
0804c324 T strlen
08050b08 T strncat
0804c338 T strncpy
0804c360 T strnlen
0804fb88 T strpbrk
08050b9c T strspn
0804c4dc T strtok
0804fb2c T strtok_r
0804e1a8 T strtol
08048188 T strwildmatch
080507b4 T __syscall_error
0804eb8c T __syscall_rt_sigaction
0804e5ec T sysconf
0804e060 W system
0804ca54 T __sysv_signal
0804ca54 T sysv_signal
0804c518 T tcgetattr
08054c00 b textBuffer.3017
0804a600 T time
0804ee5c T times
08051730 T tolower
0804a7f4 T toupper
0805229e r type_codes
080522b6 r type_sizes
0804e734 T __uClibc_fini
0804e7ab T __uClibc_init
0804e7eb T __uClibc_main
08054b78 D __uclibc_progname
0804f298 T _uintmaxtostr
0804a630 T umask
080522c2 r unknown.1161
0804a660 T unlink
08054ab8 d unsafe_state
0804ea8c W vfork
0804ea8c T __vfork
0804b148 T vfprintf
0804b270 T _vfprintf_internal
0804aa80 T vsnprintf
0804aa00 T vsprintf
0805500c b w
0804ee8c T wait4
0804a690 W waitpid
0804eed0 T wcrtomb
0804ef34 T wcsnrtombs
0804ef14 T wcsrtombs
0804a6ac W write
08055000 b x
08053814 r xdigits.3116
0804c39c T __xpg_strerror_r
0804a6e4 T __xstat64_conv
0804a776 T __xstat_conv
08055004 b y
08055008 b z
